"record_type","sheet_or_field","rows","columns","data_type_or_values","description","method_or_interpretation"
"column","contact_filtered_mean_iPAE","","","numeric Å","Mean inter-chain Predicted Aligned Error across residue pairs forming interface contacts.","Interface contacts use C-alpha distance < 8 Å; high-confidence criterion is < 10 Å."
"column","fraction_contacts_PAE_lt_10","","","numeric fraction in [0,1]","Fraction of interface contacts whose PAE is below 10 Å.","Higher values indicate that a larger fraction of the modeled interface has low predicted alignment error."
"column","interface_contacts","","","non-negative integer","Number of inter-chain residue contacts with C-alpha distance < 8 Å.","High-confidence criterion is at least 5 contacts."
"domain_column","ENSMBL","","","character","PN40024 v4 gene identifier for the protein carrying the domain hit.","Domain_architecture sheet."
"domain_column","UniProt","","","character or blank","UniProt accession and optional protein description.","Domain_architecture sheet."
"domain_column","target","","","character","Pfam target/domain model name.","HMMER hmmscan output."
"domain_column","name","","","character","Pfam accession and version.","Full-sequence HMMER output."
"domain_column","sequence query","","","character","Query protein sequence identifier used for hmmscan.","Domain_architecture sheet."
"domain_column","full-sequence E-value, score, bias","","","numeric","HMMER significance, bit score, and bias for the complete query-target comparison.","Smaller E-values and larger scores indicate stronger domain support."
"domain_column","best-domain E-value, score, bias","","","numeric","HMMER significance, bit score, and bias for the best individual domain hit.","Native hmmscan fields."
"domain_column","exp, reg, clu, ov, env, dom, rep, inc","","","numeric or integer","HMMER domain-number estimation fields: expected, regions, clusters, overlaps, envelopes, domains, reported, and included.","Native hmmscan summary statistics."
"domain_column","description of target","","","character","Pfam textual description of the target domain.","Domain_architecture sheet."
"summary_column","Category","","","character","Functional domain class.","domain_summary sheet."
"summary_column","Domain Types","","","character","Number or description of unique domain types assigned to the class.","domain_summary sheet."
"summary_column","Count","","","integer","Number of unique domain types in the functional class.","Percentages use the total number of unique domain types as denominator."
"summary_column","% of Total","","","percentage","Percentage of all unique domain types assigned to the class.","domain_summary sheet."
"summary_column","Proteins","","","character count/fraction","Number of the 25 proteins carrying a domain from the class, with optional note.","domain_summary sheet."
"pair_matrix","EDS1, EIX1, Fungal-lipase, SARD4, SOBIR1, WRKY55, WRKY51, PRE6, NAC29, RDA2, ACD6, FERONIA, LAZ5, RGA4, WAK5","","","query columns","Each column names a query protein; the second row gives its PN40024 v4 gene ID and following nonblank cells list tested partner gene IDs.","all_tested_PPIs sheet."
"pair_matrix","Cross-module (hub genes)","","","query:partner strings","Selected cross-module protein pairs.","all_tested_PPIs sheet; colon separates the two gene/protein labels."
"provenance","AlphaFold2-Multimer via ColabFold","","","software parameters","Models were generated with colabfold_batch using alphafold2_multimer_v3, five models, and three recycles.","Reported pairs are predictions requiring biochemical validation."
